ID,Job Code,DeptID,Descr,Degree Level,Hrly Rate,FTE,CREDIT_HRS_TOTAL,Fees,Matric,Weekly Rate,Biweekly Rate,Yearly Rate,Degree Level Coded,Min.Hrly.Rate.Diff.Fixed,Min.Yearly.Rate.Adjusted,Min.Hrly.Yearly.Rate.Diff,Zero.If.Below.Min.Yearly.Rate,Prop.Diff.To.Min.Yearly.Rate,Zero.If.LE.1.Percent.Prop
99253,9184,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,11,1128.35,8707.52,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
99255,9181,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,11,1331.35,8704.52,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
99299,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,11,1198.35,8704.52,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
99335,9184,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,10,900.3,3668,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
105056,9184,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,11,964.93,4034.8,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
105178,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,11,964.93,4034.8,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
105472,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,1449.75,11869.8,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
105495,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,1449.75,11869.8,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
105500,9184,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,1449.75,11869.8,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
108627,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
109427,9184,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
110003,9184,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
110207,9184,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,12,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
110274,9184,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
111285,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
111908,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
112181,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
112217,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
112233,9550,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.36,0.25,15,,,153.6,307.2,5990.4,Doctoral,14.3,5577.5,412.9,1,7.40%,1
104760,9182,0-1219-000,Communication Sciences & Disor,Doctor of Audiology,15.38,0.25,15,1449.75,11869.8,153.8,307.6,5998.2,Doctoral,14.3,5577.5,420.7,1,7.50%,1
113067,9182,0-1715-000,Educational & Psychological,Doctor of Philosophy,15.45,0.25,11,,,154.5,309,6025.5,Doctoral,14.3,5577.5,448,1,8.00%,1
105256,9550,0-1251-000,Philosophy,Doctor of Philosophy,15.705128,0.25,9,,,157.05,314.1,6125,Doctoral,14.3,5577.5,547.5,1,9.80%,1
112266,9184,0-1251-000,Philosophy,Doctor of Philosophy,15.705128,0.25,9,,,157.05,314.1,6125,Doctoral,14.3,5577.5,547.5,1,9.80%,1
95957,9182,0-1725-000,Psych & Soc Foundation,Doctor of Philosophy,15.705513,0.25,14,2477.8,22156.96,157.06,314.11,6125.15,Doctoral,14.3,5577.5,547.65,1,9.80%,1
93266,9182,0-1725-000,Psych & Soc Foundation,Doctor of Philosophy,15.707692,0.25,17,1496.45,13452.44,157.08,314.15,6126,Doctoral,14.3,5577.5,548.5,1,9.80%,1
112548,9184,0-1259-000,Religious Studies,Doctor of Philosophy,15.71,0.25,10,,,157.1,314.2,6126.9,Doctoral,14.3,5577.5,549.4,1,9.90%,1
